MSCI_Company,MSCI_ESG_Rating,MSCI_Environment_Flag,MSCI_Social_Flag,MSCI_Governance_Flag,MSCI_Customer_Flag,MSCI_Human_Rights_Flag,MSCI_Labor_Rights_Flag
"The Williams Companies, Inc.",AA,Green,Yellow,Green,Yellow,Yellow,Green
"Air Products and Chemicals, Inc.",A,Green,Green,Green,Green,Green,Green
CVS Health Corporation,BBB,Green,Yellow,Yellow,Yellow,Green,Yellow
Carrier Global Corporation,AA,Yellow,Orange,Green,Green,Orange,Green
"Simon Property Group, Inc.",BBB,Green,Green,Green,Green,Green,Green
"Becton, Dickinson and Company",BBB,Green,Orange,Green,Orange,Orange,Green
"Autodesk, Inc.",AAA,Green,Green,Green,Green,Green,Green
"Republic Services, Inc.",A,Green,Green,Green,Green,Green,Green
Arthur J. Gallagher & Co.,A,Green,Green,Green,Green,Green,Green
Royal Caribbean Cruises Ltd.,BBB,Green,Yellow,Green,Yellow,Green,Green
General Motors Company,BBB,Green,Yellow,Green,Yellow,Green,Yellow
"ONEOK, Inc.",AAA,Green,Yellow,Green,Green,Yellow,Green
Freeport-McMoRan Inc.,BBB,Orange,Orange,Green,Green,Orange,Yellow
Truist Financial Corporation,A,Green,Green,Green,Green,Green,Green
Aflac Incorporated,A,Green,Green,Green,Green,Green,Green
PACCAR Inc,A,Green,Green,Green,Green,Green,Green
"Digital Realty Trust, Inc.",AA,Green,Green,Green,Green,Green,Green
Hilton Worldwide Holdings Inc.,A,Green,Yellow,Green,Green,Green,Yellow
